Word,Meaning,Sense,Sentence 1,Sentence 2,Sentence 3
sacrosanct,too sacred to touch,+,"The old family tradition is sacrosanct.","Free speech is sacrosanct in the constitution.","She treats her morning coffee as sacrosanct."
sadistic,cruelly enjoying harm,−,"The sadistic villain haunted the film.","His sadistic humor made her uncomfortable.","The sadistic boss shouted at every mistake."
safeguard,protection,+,"Locks are a safeguard against theft.","She built in safeguards for user data.","The rule is a safeguard, not a burden."
sagacious,wisely shrewd,+,"His sagacious advice saved the firm.","She is a sagacious investor with a keen eye.","The sagacious judge saw through the lie."
sage,wise mentor,+,"The old sage guided many young students.","She is regarded as a sage of the industry.","His sage counsel steadied the team."
salacious,lustful,−,"The salacious gossip spread quickly.","She avoided the salacious tabloids.","His salacious remarks got him fired."
salient,most noticeable,N,"The salient point of the essay was clear.","She listed the salient facts of the case.","His salient feature is his calm manner."
salubrious,health-promoting,+,"The mountain air is salubrious.","She recommends a salubrious diet of vegetables.","The salubrious climate helped his recovery."
salutary,beneficial,+,"The failure had a salutary effect on him.","Her salutary advice steered them right.","A short pause can be salutary for a team."
salvational,saving,+,"They viewed her arrival as salvational.","The nonprofit does salvational work in the slums.","His salvational speech turned the crowd around."
sanctimonious,hypocritically self-righteous,−,"His sanctimonious tone annoyed the audience.","She dislikes sanctimonious critics on social media.","The sanctimonious speech ignored his own flaws."
sanction,officially approve or penalize,N,"The UN sanctioned the country over the violation.","The rules do not sanction such behavior.","Nations imposed heavy sanctions on the regime."
sanguine,cheerfully optimistic,+,"She is sanguine about the team's chances.","His sanguine outlook lifted the group's mood.","Analysts remain sanguine about growth."
sanity,mental soundness,+,"She questioned his sanity after the outburst.","A quiet weekend restored her sanity.","There is no sanity in that argument."
satirical,mocking with wit,N,"He wrote a satirical column on politics.","The satirical film exposed corruption cleverly.","Her satirical tone amused most readers."
scant,barely enough,−,"She paid scant attention to the details.","The report has scant evidence for the claim.","There is scant hope of finding him alive."
scarce,in short supply,−,"Rooms are scarce during the festival.","Fresh water is scarce in this region.","Honest reviewers are scarce online."
scaremonger,alarm-spreader,−,"He was called a scaremonger by the press.","She dismissed the scaremongers on health topics.","The scaremonger warned of imaginary threats."
scathing,witheringly harsh,−,"The review was scathing about the film.","She gave a scathing reply to the rude email.","His scathing critique silenced the room."
scatter,disperse,N,"Wind scattered the leaves across the lawn.","She scattered the flyers around campus.","Police told the crowd to scatter."
schism,formal split,−,"A schism divided the old party.","There is a schism in the family over the will.","The church suffered a schism last century."
scholar,learned expert,+,"She is a scholar of ancient Greek texts.","The scholar published a definitive study.","He was a lifelong scholar of jazz history."
scintillating,brilliantly sparkling,+,"She gave a scintillating performance on stage.","His scintillating wit charmed the guests.","The scintillating debate lasted for hours."
scold,rebuke,−,"The teacher scolded him for arriving late.","She scolded her son for the mess.","Do not scold the child in public."
scorn,contempt,−,"She looked at the mess with open scorn.","He treats sloppy work with scorn.","Her scorn for gossip is well known."
scrupulous,principled and precise,+,"She is scrupulous about her research sources.","His scrupulous honesty impressed the panel.","The auditor made a scrupulous review."
scrutinize,examine closely,N,"She scrutinized every clause of the contract.","The judge scrutinized the witness's face.","Editors scrutinize each fact in the article."
seasonal,tied to a season,N,"She works a seasonal job at the resort.","Seasonal fruit is fresher and cheaper.","The store has seasonal hours in winter."
seclusion,isolation,N,"He lived in seclusion for many years.","She sought seclusion to finish the book.","The monastery offers deep seclusion."
secondhand,previously used,N,"He bought a secondhand bike for the summer.","She has only secondhand knowledge of the event.","Secondhand stores support local charities."
secretive,inclined to secrecy,N,"He is secretive about his savings.","She gave a secretive smile at the news.","The secretive company reveals little about its plans."
sectarian,narrow-group loyal,−,"Sectarian conflict tore the region apart.","She dislikes sectarian bias in the news.","Sectarian schools serve one religious community."
securely,safely,+,"She stored the papers securely in a safe.","Please buckle the child in securely.","Data is stored securely on the server."
seditious,rebellion-inciting,−,"His seditious pamphlet led to his arrest.","The seditious speech drew police attention.","She was accused of seditious writing."
sedulous,painstakingly diligent,+,"Her sedulous research earned high marks.","He is sedulous in his practice each morning.","A sedulous student soon becomes an expert."
seek,search for,N,"Many seek quiet in the countryside.","She seeks a new job in publishing.","Do not seek revenge; seek peace."
seethe,fume,−,"He seethed silently at the insult.","The kitchen seethed with activity before service.","She seethed at the unfair grade."
self-aggrandizing,self-inflating,−,"His self-aggrandizing memoir bored critics.","She rejects self-aggrandizing speeches.","The self-aggrandizing tone lost him the audience."
self-assurance,confidence,+,"Her self-assurance impressed the interviewer.","He speaks with quiet self-assurance.","Self-assurance grows with practice."
self-effacing,modestly downplaying,+,"He is self-effacing about his awards.","Her self-effacing manner won her many friends.","The self-effacing leader shared the credit."
self-evident,obviously true,+,"It is self-evident that we need reform.","The rule is self-evident to any beginner.","Some rights we hold as self-evident."
self-indulgent,pleasure-obsessed,−,"His self-indulgent lifestyle drained his savings.","The film is a self-indulgent mess.","She hates self-indulgent long-winded speeches."
self-perpetuating,keeping itself going,N,"The system is self-perpetuating and hard to change.","Bad habits can be self-perpetuating.","The nonprofit built a self-perpetuating fund."
self-serving,acting only for oneself,−,"His self-serving reply angered the team.","She hates self-serving corporate ads.","A self-serving leader loses trust fast."
seminal,highly influential,+,"Her book is a seminal work in the field.","The seminal study reshaped modern research.","His seminal ideas influenced a generation."
senescence,growing old,N,"The novel explores the senescence of the poet.","She writes about the senescence of stars.","Cellular senescence is a hot research topic."
sensational,excitingly shocking,N,"The sensational headline drew many clicks.","She gave a sensational performance last night.","Sensational rumors filled the tabloids."
sensuous,appealing to the senses,+,"The music has a sensuous rhythm.","She loves the sensuous texture of silk.","The chef aims for sensuous presentation."
sententious,pompously moralizing,−,"His sententious tone bored the class.","She rejected the sententious advice.","The sententious essay felt preachy."
sentimental,nostalgically emotional,N,"She kept the sentimental old photo.","His sentimental speech moved the crowd.","Do not throw out sentimental keepsakes."
separation,being apart,N,"The separation lasted six painful months.","There is a clear separation of duties here.","Church and state require formal separation."
sequester,isolate,N,"The jury was sequestered during the trial.","She sequestered herself to finish the essay.","Trees sequester carbon from the air."
serendipitous,delightfully accidental,+,"Their meeting was serendipitous.","A serendipitous discovery saved the project.","The serendipitous find changed his career."
serene,peacefully calm,+,"The lake was serene at dawn.","She has a serene expression during meditation.","His serene manner soothed the anxious crowd."
serve,attend to,+,"She serves on the local school board.","He served meals at the shelter.","This tool serves many purposes."
settle,resolve,+,"They settled the argument over coffee.","She settled in a small coastal town.","The dust settled slowly after the crash."
sever,cut off cleanly,N,"He severed all ties with the company.","She severed the rope with one cut.","The storm severed the power lines."
severe,harsh,−,"The winter was unusually severe.","She faced severe criticism at the review.","He has a severe migraine today."
shackle,restrain,−,"Debt shackled the small firm for years.","The old rule shackled every teacher's method.","Shackles bound the prisoner's wrists."
shallow,not deep,−,"The pool is shallow at this end.","His analysis is shallow and easy to dismiss.","Shallow thinking leads to weak decisions."
