Word,Meaning,Sense,Sentence 1,Sentence 2,Sentence 3
radical,fundamentally extreme,N,"He proposed a radical reform of taxes.","Her radical ideas divided the party.","The plan requires a radical shift in habits."
raillery,good-natured teasing,+,"The dinner was full of harmless raillery.","She enjoyed the raillery of her old friends.","His raillery kept the meeting light."
rally,gathering,+,"Thousands attended the political rally.","The team rallied after a slow start.","She rallied support for the new library."
ramble,wander aimlessly,−,"He rambled through the whole speech.","She rambled about her cats for hours.","Do not ramble; get to the point."
ramification,consequence,N,"The decision has broad ramifications.","She weighed every ramification before signing.","One small change had many ramifications."
rampant,uncontrollably widespread,−,"Corruption is rampant in some agencies.","Weeds are rampant in the abandoned lot.","Rampant rumors filled the office."
random,without pattern,N,"He made a random guess at the answer.","She chose a random book from the shelf.","The winners were picked at random."
rant,loud tirade,−,"His rant about traffic lasted ten minutes.","She listened to his angry rant patiently.","The article is a rant against modern schools."
rapacious,predatorily greedy,−,"The rapacious firm swallowed rivals.","His rapacious spending drained the fund.","Rapacious lenders trapped many families."
rarefy,make less dense,N,"High altitude rarefies the air.","Time rarefied the crowd of guests.","The talk rarefied a complex idea into simple terms."
rarity,scarcity,+,"Old first editions are of great rarity.","Her honesty is a rarity in politics.","A perfect diamond is a true rarity."
rational,reasonable,+,"She made a rational choice about the loan.","He is a rational thinker under pressure.","The rational plan avoided emotional traps."
rationale,reasoning,N,"He explained the rationale for the change.","Her rationale for leaving was clear.","The rationale behind the rule needs review."
rattle,unnerve,−,"The critical email rattled her.","Nothing rattles him during a game.","The tremor rattled the whole building."
ravage,destroy violently,−,"Fires ravaged the small town.","The disease ravaged the elderly population.","War ravaged the countryside for years."
reactionary,ultra-conservative,−,"His reactionary views blocked the reform.","The reactionary editorial upset many readers.","She rejected the party's reactionary turn."
readily,easily,+,"She readily agreed to help.","The book is readily available online.","He readily admitted his mistake."
realist,practical thinker,+,"She is a realist about the challenge ahead.","A realist plans for setbacks, not just wins.","He is a realist, not a pessimist."
rebound,recover,+,"Sales rebounded after the ad campaign.","She rebounded quickly from the flu.","The ball rebounded off the wall."
rebuff,curt rejection,−,"His offer met a firm rebuff.","She rebuffed his advances politely.","The senator rebuffed the reporter's question."
rebuke,sharp reprimand,−,"He received a rebuke from the coach.","She issued a public rebuke of the plan.","The teacher's rebuke silenced the class."
recalcitrant,stubbornly resistant,−,"The recalcitrant student refused every task.","She dealt with a recalcitrant printer for hours.","The recalcitrant senator blocked the bill."
recant,take back a claim,N,"He was forced to recant his earlier statement.","She refused to recant her testimony.","The witness recanted in court."
recapitulate,summarize,N,"Let me recapitulate the main points.","She recapitulated her argument at the end.","The teacher recapitulated the lesson briefly."
recast,reshape,N,"They recast the film with new actors.","She recast the essay in a new tone.","The plan was recast to fit the budget."
recede,move back,−,"The floodwaters began to recede.","His hairline recedes with age.","Her fear receded as the storm passed."
receptivity,openness to ideas,+,"Her receptivity to feedback improved the design.","The class showed high receptivity to the new method.","His receptivity to change surprised the team."
recipe,cooking directions,N,"She followed her grandmother's recipe.","The recipe calls for two cups of flour.","This is a recipe for disaster."
reckless,dangerously careless,−,"He was fined for reckless driving.","Her reckless spending emptied the account.","The reckless choice put the team at risk."
reclusive,withdrawn from society,N,"The reclusive author rarely gives interviews.","He became reclusive after the loss.","She lived a reclusive life in the mountains."
recoil,shrink back,−,"He recoiled at the sight of blood.","She recoiled from his rude tone.","The gun's recoil bruised his shoulder."
reconcile,make peace,+,"She reconciled with her sister after years.","He tried to reconcile the two figures.","We must reconcile the accounts by Friday."
recondite,obscurely deep,−,"His recondite theories baffled the class.","The book covers recondite legal points.","Only experts follow the recondite debate."
recount,tell in detail,N,"She recounted the story for the police.","He recounted his travels to his family.","The judge asked for a recount of votes."
recourse,fallback option,N,"She had no recourse but to sue.","Legal recourse is available for tenants.","His only recourse was to leave the firm."
recrudescent,breaking out again,−,"The recrudescent fever alarmed the doctor.","Old racism showed recrudescent signs.","Recrudescent conflicts shook the region."
rectitude,moral uprightness,+,"His rectitude earned him respect at court.","She was known for her personal rectitude.","Rectitude is essential in public service."
redirect,channel differently,N,"They redirected traffic around the crash.","She redirected the funds to the school.","Please redirect the email to the manager."
rediscovery,finding again,+,"The rediscovery of the old letters delighted her.","His rediscovery of painting brought him joy.","The rediscovery of the site excited historians."
redolent,vividly reminiscent,N,"The kitchen was redolent of fresh bread.","Her writing is redolent of childhood summers.","The old song is redolent of a lost era."
redouble,intensify,N,"She redoubled her efforts to finish on time.","The team redoubled their training for finals.","We must redouble security after the breach."
redoubtable,commanding respect,+,"She is a redoubtable opponent in court.","His redoubtable skill wins matches easily.","The redoubtable coach turned the team around."
reduce,lessen,N,"They reduced prices for the sale.","She reduced her hours to spend time with family.","The tax cut aims to reduce the burden."
redundant,unnecessarily extra,−,"His job became redundant after the merger.","The report has redundant sections.","She removed redundant words from the draft."
reference,mention,N,"He made a reference to her earlier point.","Please add a reference for that claim.","She kept a reference book by the desk."
refine,improve,+,"She refined her writing over many drafts.","The chef refined the recipe for years.","The plan needs to be refined before Monday."
reflect,think about,N,"She took time to reflect on the offer.","The report reflects the team's hard work.","The lake reflected the mountains at dawn."
refresh,revive,+,"A short nap will refresh you.","Please refresh the page to see updates.","Cold water refreshed the tired hikers."
refuge,safe place,+,"They found refuge in a nearby barn.","Books are her refuge from stress.","The park is a refuge for city birds."
refute,disprove,+,"She refuted the claim with clear data.","The lawyer refuted the witness in court.","New evidence refuted the old theory."
regal,royally dignified,+,"She has a regal bearing at every event.","The old palace has a regal atmosphere.","His regal manner suits the diplomat's role."
regress,slide backward,−,"His health regressed after the surgery.","The team regressed to old habits.","Do not regress on the progress you made."
regret,feel sorry,−,"She regrets not calling her mother more.","He regrets his rude words at the meeting.","There is no time to regret past choices."
regulate,control,N,"The agency regulates food safety.","She regulates her sleep with a strict routine.","New laws regulate the industry."
rehabilitate,restore,+,"Doctors will rehabilitate his knee slowly.","The program rehabilitates young offenders.","She rehabilitated an abandoned old barn."
rehash,repeat old material,−,"The film is a rehash of old cliches.","Do not rehash old arguments at dinner.","The article is a rehash of last year's story."
reinforce,strengthen,+,"Her praise reinforced his confidence.","Steel beams reinforce the old bridge.","Regular practice reinforces new skills."
reinterpret,view differently,N,"He reinterprets the classic novel for teens.","She reinterpreted the data in her paper.","The film reinterprets the historical event."
reiterate,repeat firmly,N,"She reiterated her support for the plan.","He reiterated the safety rules for new hires.","Let me reiterate the deadline: Friday noon."
reject,refuse,−,"She rejected the low offer.","The board rejected the plan quickly.","He was rejected from three schools."
rejuvenation,renewal of energy,+,"The vacation gave her real rejuvenation.","The renovation brought a rejuvenation to the shop.","Sleep is essential for daily rejuvenation."
