Word,Meaning,Sense,Sentence 1,Sentence 2,Sentence 3
macabre,gruesomely grim,−,"He has a macabre sense of humor.","The novel opens with a macabre scene.","She avoided the macabre details in the report."
madcap,recklessly wild,−,"His madcap scheme lost the family money.","She has a madcap plan for the road trip.","The film is a madcap comedy."
magisterial,authoritatively commanding,+,"The judge spoke in a magisterial tone.","His magisterial biography of Lincoln won awards.","She gave a magisterial defense of the plan."
magnanimous,nobly generous,+,"He was magnanimous in victory.","Her magnanimous gesture surprised her rival.","The magnanimous king pardoned the rebels."
magnify,enlarge,N,"The lens magnifies the smallest detail.","Do not magnify a small mistake.","Fear can magnify every risk."
magnitude,size,N,"The magnitude of the loss shocked the town.","Astronomers measured the star's magnitude.","She underestimated the magnitude of the task."
mainstay,chief support,+,"Rice is the mainstay of their diet.","She is the mainstay of the small firm.","Wheat exports are the mainstay of the economy."
majestic,dignified,+,"The mountains looked majestic at sunrise.","She gave a majestic curtsy to the queen.","The old cathedral is truly majestic."
makeshift,crudely temporary,−,"They built a makeshift shelter with tarps.","She used a makeshift bandage from a scarf.","The makeshift stage held for the show."
maladroit,clumsy,−,"His maladroit reply worsened the tension.","She apologized for her maladroit remark.","The maladroit driver dented the fender."
malady,illness,−,"He suffers from a rare malady.","She wrote about the maladies of city life.","Doctors could not name the malady."
malefactor,wrongdoer,−,"Police caught the malefactor by dawn.","The novel's malefactor haunts the hero.","Every court hopes to punish the malefactor."
malevolent,spitefully evil,−,"He gave her a malevolent glare.","The malevolent villain plots each week.","She rejected any malevolent motive for the gift."
malfeasance,official misconduct,−,"The mayor resigned amid claims of malfeasance.","Audits uncovered years of malfeasance.","She testified about corporate malfeasance."
malign,speak evil of,−,"Do not malign her when she is not here.","The article maligned an honest official.","He was maligned by rivals for years."
malignant,harmful,−,"The tumor was found to be malignant.","His malignant tone frightened the child.","Rumors had a malignant effect on morale."
malinger,fake illness,−,"He was accused of malingering to avoid work.","She malingered to skip the tough exam.","Do not malinger; be honest about your health."
malleable,easily shaped,N,"Gold is highly malleable and easy to work.","Young minds are malleable.","Her opinion is malleable when facts change."
malodorous,smelly,−,"The malodorous swamp drove hikers away.","She threw out the malodorous cheese.","The garbage grew malodorous by afternoon."
manacle,shackle,−,"Guards manacled the prisoner's wrists.","Old habits can manacle a person's growth.","She felt manacled by the strict schedule."
manage,handle,+,"She manages a team of ten.","He barely manages his time well.","The store manages a wide inventory."
mandate,official order,N,"The judge issued a mandate for the release.","Voters gave the party a strong mandate.","She has a mandate to reform the office."
manifest,clearly displayed,N,"Her joy was manifest to everyone at the party.","The problem manifested in small errors.","He filed the ship's manifest at the port."
manufacture,produce,+,"The plant manufactures small parts.","She manufactured an excuse for being late.","Cars are manufactured in three plants."
marginal,at the edge,−,"His grades were marginal at best.","The extra cost is only marginal.","The team made marginal gains this season."
marginalize,push to sidelines,−,"The reform marginalized older workers.","She refused to be marginalized in meetings.","Their views were marginalized in the debate."
mark,indicate,N,"She marks each essay carefully.","He left his mark on the whole company.","Please mark your calendar for Friday."
martinet,strict disciplinarian,−,"The coach is a martinet about practice.","Her boss is a martinet on deadlines.","Soldiers feared the old martinet."
mask,hide,N,"She wore a mask to the party.","He tried to mask his fear with a joke.","Perfume can mask a stale smell."
mass,large amount,N,"A mass of paperwork sat on her desk.","Ice has less mass than water at rest.","Mass protests filled the square."
massive,huge,N,"The stadium is a massive concrete structure.","She faces a massive amount of work.","The wave caused massive damage."
