Word,Meaning,Sense,Sentence 1,Sentence 2,Sentence 3
backhand,reverse-hand stroke,N,Her backhand won her the tournament.,He hit a powerful backhand across the court.,She practiced her backhand for hours daily.
baffle,confuse,−,The riddle baffled even the professor.,His sudden mood change baffles me.,The magician's trick baffled the audience.
balk,refuse,−,She balked at the high price of the coat.,He balked at the idea of moving abroad.,The horse balked at the narrow bridge.
banal,unoriginal,−,His banal remarks bored the guests.,The film's plot was utterly banal.,She avoided banal small talk at parties.
baneful,harmful,−,Gossip has a baneful effect on friendships.,The drug had baneful side effects.,His baneful influence hurt the whole team.
banish,exile,−,The king banished the traitor forever.,She banished all doubt from her mind.,Cold weather banished the mosquitos.
bar,prevent,N,Nothing will bar her from success.,The judge barred him from driving.,We stopped at a small bar for a drink.
baroque,elaborately ornate,N,The church has a baroque interior.,"She loves baroque music, especially Bach.",His writing style is a bit baroque.
barrage,heavy bombardment,−,He faced a barrage of tough questions.,A barrage of shells hit the town.,She endured a barrage of criticism online.
base,contemptible,−,His base motives were soon revealed.,She refused to stoop to such base tactics.,That was a base act of betrayal.
bawdy,crudely humorous,−,The comedian told bawdy jokes all night.,She disliked the bawdy tone of the play.,Sailors sang bawdy songs on shore leave.
bedrock,solid foundation,+,Trust is the bedrock of a good marriage.,The engineers reached bedrock at ten meters.,Honesty is the bedrock of her character.
befuddle,confuse,−,The complex form befuddled the elderly man.,Too many drinks befuddled his thinking.,She was befuddled by the strange machine.
beguile,charmingly deceive,N,He beguiled her with sweet promises.,The salesman beguiled us into buying more.,Music beguiled the long train journey.
beholden,indebted,−,I am beholden to you for your help.,She dislikes being beholden to anyone.,He was beholden to his father for the loan.
belabor,over-emphasize,−,There is no need to belabor the obvious.,Do not belabor the point in your essay.,She belabored the topic for an hour.
belie,contradict,N,Her smile belied her true feelings.,The facts belie his optimistic report.,His calm voice belied his inner panic.
believability,credibility,+,The story lacks believability.,Her honest tone gives the account believability.,The witness had strong believability.
belittlers,defamers,−,He ignored his belittlers and kept working.,The artist rose above the belittlers.,Do not listen to belittlers of your dream.
belligerent,aggressively hostile,−,He gave a belligerent stare to his rival.,Belligerent fans clashed after the match.,She apologized for her belligerent tone.
