Group Core Meaning,Word,Sense,Meaning,Source,,,,
ABNORMAL,aberration,,a state or condition markedly different from the norm,XLSX,,,,
ABNORMAL ,anomaly,,deviation from the normal or common order or form or rule,XLSX,,,,
ABNORMAL ,quirk,,a strange attitude or habit,GREG_MAT,,,,
ABUNDANT,Abound,+,present in great quantity,XLSX,,,,
ABUNDANT,abound,,"(verb, +ve) exist plentifully (verb) + abundant",BOTH,,,,
ABUNDANT,affluence,,abundant wealth,XLSX,,,,
ABUNDANT,bountiful,+,given or giving freely,XLSX,,,,
ABUNDANT,copious,+,"(adj, +ve) plentifully + abundant",BOTH,,,,
ABUNDANT,plentiful,+,existing in great number or quantity,XLSX,,,,
ABUNDANT,plentitude,+,a full supply,XLSX,,,,
ABUNDANT,plethora,-,extreme excess,XLSX,,,,
ABUNDANT,profuse,,"(adj, N) lavishly, pouring out + abundant",PDF,,,,
ABUNDANT,replete,+,fill to satisfaction,XLSX,,,,
ABUNDANT,surfeit,-,"(noun, -ve) excessively over- (too much; noun) + abundant",BOTH,,,,
ABUNDANT,teem,+,"be teeming, be abuzz",XLSX,,,,
MISFORTUNE,deplorable,,bad; unfortunate,XLSX,,,,
MISFORTUNE,hapless,,"(adj, -ve) unluckily unfortunate",PDF,,,,
MISFORTUNE,hitch,-,"a period of time spent in military service, Obstacle",XLSX,,,,
ADVERSITY / MISFORTUNE,snag,-,Obstacle,XLSX,,,,
AGITATED / STORMY,flustered,-,"(adj, -ve) confusedly + agitated / stormy",PDF,,,,
AGITATED / STORMY,frenetic,-,"(adj, -ve) frantically + agitated / stormy",PDF,,,,
AGITATED / STORMY,hysteria,,state of violent mental agitation,XLSX,,,,
AGITATED / STORMY,overwrought,,deeply agitated especially from emotion,XLSX,,,,
AGITATED / STORMY,roil,-,be agitated,XLSX,,,,
AGITATED / STORMY,tempestuous,-,"(adj, -ve) stormily, emotionally + agitated / stormy",BOTH,,,,
AGITATED / STORMY,turbulence,-,unstable flow of a liquid or gas,XLSX,,,,
ALARMIST / DOOMSAYER,naysayer,-,someone with an aggressively negative attitude,XLSX,,,,
ALARMIST / DOOMSAYER,scaremonger,-,a person who spreads frightening rumors and stirs up trouble,XLSX,,,,
