Word,Meaning,Sense,Sentence 1,Sentence 2,Sentence 3
damp,slightly wet,−,The basement felt cold and damp.,She wiped the damp counter with a cloth.,Damp air made the drying laundry slow.
dampen,reduce,−,Nothing could dampen her holiday mood.,Rain dampened the sound of the crowd.,His harsh words dampened team spirit.
dangerous,risky,−,That road is dangerous at night.,Handling live wires is dangerous work.,She warned him about the dangerous drug.
daunt,discourage,−,The tough climb did not daunt her.,He was daunted by the crowd's size.,Nothing seems to daunt his ambition.
dawdle,waste time,−,Do not dawdle; the train leaves soon.,She dawdled on the way to school.,He dawdles over breakfast every morning.
dazzle,blind with brightness,+,Her performance dazzled the audience.,Sunlight dazzled him as he stepped outside.,The dancer's costume was pure dazzle.
de-emphasize,downplay,N,The report de-emphasized the losses.,She de-emphasized her academic titles.,We should de-emphasize style over substance.
deaden,dull,N,The thick carpet deadens the footsteps.,Painkillers deaden the ache.,Fog deadened the noise from the road.
dearth,shortage,−,There is a dearth of skilled workers.,The town suffers a dearth of doctors.,A dearth of rain hurt the crops.
debase,degrade,−,Cheap ads debased the brand.,He refused to debase himself for the job.,Political attacks debased the debate.
debate,discuss,N,They debated the budget for hours.,She joined the school debate team.,There is no debate about the facts.
debilitate,weaken,−,The illness debilitated her for months.,Long hours debilitate the body.,Fear can debilitate a person's judgment.
debunk,expose as false,+,The article debunked the popular myth.,Scientists debunked his wild claims.,She debunked the urban legend easily.
decadent,self-indulgent,−,The dessert was rich and decadent.,He led a decadent nightlife in his youth.,Some see modern art as decadent.
decelerate,slow down,N,The car decelerated at the yellow light.,Growth decelerated in the second quarter.,She decelerated as she approached the curve.
deceptive,misleading,−,Her calm face was deceptive.,The label had a deceptive picture.,Do not trust deceptive online offers.
decipher,decode,N,She could not decipher his messy writing.,Historians tried to decipher the ancient script.,Please help me decipher the map.
decline,decrease,−,His health began to decline last year.,She declined the invitation politely.,Sales showed a small decline this month.
decode,decrypt,N,They worked to decode the enemy message.,She decoded the text using a key.,Old radios could decode Morse signals.
decorative,ornamental,+,The vase is purely decorative.,She added decorative pillows to the sofa.,The room needs a few decorative touches.
decorum,proper behavior,+,He behaved with perfect decorum at the funeral.,Court decorum requires silence.,Her decorum impressed the older guests.
decouple,separate,N,We must decouple pay from company profits.,The reform decoupled schools from the church.,Try to decouple emotion from decisions.
decry,openly condemn,−,Reformers decried the corrupt courts.,She decried the lack of clean water.,Critics decried the film as reckless.
defame,damage reputation,−,He sued them for defaming his name.,Do not defame anyone in your writing.,The article defamed a private citizen.
defer,postpone,N,She deferred her decision until Monday.,We will defer to your expertise here.,The court deferred the ruling by a week.
deferential,respectful,+,He gave a deferential bow to the judge.,Her deferential tone pleased the guest.,He was deferential yet firm in the meeting.
deficiency,shortage,−,He has an iron deficiency.,There is a deficiency in customer support.,The report noted several deficiencies.
definitive,conclusive,+,She gave a definitive answer at last.,This is the definitive guide to the topic.,The DNA test provided definitive proof.
deflate,collapse,−,The tire slowly deflated overnight.,Bad news deflated her spirits.,His teasing deflated the child's confidence.
deflect,redirect,N,She deflected the tough question with a joke.,Umbrellas deflect the rain from your face.,The shield deflected the arrow safely.
deft,skillful,+,She gave a deft answer to the tough query.,His deft fingers braided the rope quickly.,The chef made deft cuts through the fish.
defy,openly resist,−,He defied the order and stayed home.,She defies every stereotype about her age.,The building defies simple description.
degeneracy,moral decline,−,The film exposes urban degeneracy.,She wrote about the degeneracy of the elite.,Historians debate the era's degeneracy.
degenerative,worsening,−,He suffers from a degenerative disease.,Degenerative changes affected his spine.,She researches degenerative brain disorders.
degrade,lower quality,−,Chemicals degrade the water supply.,Do not degrade yourself with such lies.,Time will degrade the plastic in the sun.
deification,worship,+,The deification of celebrities worries her.,His writings warn against deification of leaders.,There was deification of the founder after his death.
deify,worship as god,+,Fans deify the young rock star.,Old cultures deified natural forces.,Do not deify any single leader.
deject,dishearten,−,The loss dejected the whole team.,Her cold reply dejected him.,Do not deject the players before the game.
delay,postponement,−,Weather caused a two-hour delay.,She apologized for the delay in reply.,Any delay could cost the company money.
delegate,representative,N,Each state sent a delegate to the conference.,She will delegate the task to her team.,He delegated authority to his deputy.
deleterious,harmful,−,Smoking has deleterious effects on health.,Stress has deleterious impacts on sleep.,The chemical is deleterious to fish.
deliberate,intentional,N,Her rude remark was clearly deliberate.,We must deliberate before we vote.,The jury deliberated for six hours.
deliberation,careful thought,N,"After much deliberation, she said yes.",The board deliberations lasted all day.,Deliberation is needed for a big move.
delight,pleasure,+,The gift filled her with delight.,He read the book with pure delight.,Her smile is a delight to see.
delimit,set limits,N,The fence delimits our property.,Please delimit the scope of the study.,Rules delimit what teachers can say.
delineate,precisely outline,N,The report delineates the new policy.,She delineated her plans on the whiteboard.,The map delineates the town borders.
delude,mislead,−,He deluded himself about his talent.,Do not let flattery delude you.,She was deluded by his false promises.
delusive,unrealistic,−,His delusive hopes soon collapsed.,She warned against delusive promises.,The dream turned out to be delusive.
demarcate,mark boundaries,N,White lines demarcate the parking spots.,The river demarcates the two countries.,Please demarcate work and home clearly.
demise,end,−,The demise of the newspaper shocked readers.,His demise was sudden and unexpected.,The demise of the show angered fans.
demonization,portraying as evil,−,He resents the demonization of his community.,The demonization of the group is unfair.,Political demonization worsens hostility.
demonstrable,provable,+,The gains are small but demonstrable.,There is demonstrable evidence of fraud.,She showed demonstrable skill on the field.
demoralize,dishearten,−,The scandal demoralized the staff.,Bad reviews can demoralize new writers.,Loss after loss demoralized the team.
demur,politely object,N,He demurred at the extra work but agreed.,She demurred about the price.,"Without demur, he signed the form."
denigrate,belittle,−,Do not denigrate her work in public.,He denigrated the mayor's plan on TV.,She refused to denigrate her opponent.
denounce,publicly condemn,−,Leaders denounced the violent attack.,She denounced the corrupt official.,He denounced the deal in a strong speech.
denunciation,public condemnation,−,His denunciation of racism drew applause.,There was a wave of denunciation online.,Her denunciation of the plan cost her friends.
deny,refuse,N,He denied the charges in court.,She denied herself dessert this week.,Do not deny the child a chance.
dependable,reliable,+,He is a dependable member of the team.,Her old car is still dependable.,"She wants a dependable friend, not fair-weather ones."
deplete,use up,−,The war depleted the nation's savings.,Long shifts depleted his energy.,Overfishing has depleted the stocks.
deplorable,shameful,−,The living conditions were deplorable.,His deplorable behavior lost him the promotion.,Deplorable weather ruined the picnic.
