Word,Meaning,Sense,Sentence 1,Sentence 2,Sentence 3
gadfly,persistent pest,−,"He is a gadfly on the city council.","The columnist plays a useful gadfly role.","She was a gadfly to lazy managers."
gaffe,social blunder,−,"He made an awful gaffe at the dinner.","Her gaffe was replayed all week.","The minister apologized for the gaffe."
gainsay,contradict,N,"No one can gainsay her hard work.","He did not gainsay the professor's point.","The evidence is hard to gainsay."
gall,brazen nerve,−,"He had the gall to ask for more money.","She had the gall to blame others.","His gall shocked the entire class."
galvanize,spur to action,+,"The speech galvanized the crowd to vote.","Her story galvanized public support.","The loss galvanized the team to train harder."
gargantuan,huge,N,"He ordered a gargantuan pizza.","The project has a gargantuan budget.","She faced a gargantuan pile of laundry."
garrulity,talkativeness,−,"His garrulity delayed every meeting.","She grew tired of her uncle's garrulity.","Garrulity is not the same as depth."
garrulous,excessively talkative,−,"The garrulous neighbor stopped her every day.","He is garrulous after two drinks.","The garrulous host bored his guests."
gauche,socially awkward,−,"His gauche remarks embarrassed the family.","She felt gauche at the fancy dinner.","A gauche compliment can still sting."
gawky,awkwardly clumsy,−,"He was a gawky teenager, all arms and legs.","She hated the gawky phase of adolescence.","The gawky puppy tripped over the rug."
genealogy,family history,N,"He researched his family genealogy for years.","She traced her genealogy back to Ireland.","The book is a genealogy of the ancient kings."
generality,broad statement,N,"He spoke only in generalities.","Move past the generality and give details.","A wise leader avoids empty generalities."
generate,produce,+,"Wind turbines generate clean energy.","She generates fresh ideas every week.","The meeting generated many good leads."
generative,creative,+,"He has a highly generative mind.","She writes with a generative energy.","The workshop is designed to be generative."
generic,not branded,N,"She buys generic drugs to save money.","This is a generic answer to a specific question.","The generic version costs half as much."
generosity,willingness to give,+,"Her generosity to the shelter is famous.","He is known for his generosity of spirit.","The town's generosity helped storm victims."
genteel,refined,+,"They live in a genteel old suburb.","She has a genteel manner at tea.","His genteel accent charmed the guests."
germane,directly relevant,+,"His question was germane to the debate.","Please stick to germane facts only.","The example is germane to your point."
gigantic,enormous,N,"The wave was gigantic and terrifying.","She has a gigantic collection of books.","The task feels gigantic on Monday."
gild,cover with gold,N,"They will gild the frame around the mirror.","Do not gild the lily by adding more praise.","Artisans gild statues for cathedrals."
glean,collect bit by bit,+,"She gleaned useful data from many reports.","He gleaned tips from every mentor he met.","Farmers glean leftover grain after harvest."
glib,slickly shallow,−,"He gave a glib answer to a hard question.","Her glib tone annoyed the interviewer.","Do not offer glib advice to grieving friends."
gloat,relish others' failure,−,"He gloated over his rival's loss.","Do not gloat when you win a small argument.","She refused to gloat about her promotion."
gloomy,sad,−,"She was in a gloomy mood all week.","The forecast is gloomy for the weekend.","The gloomy old house needs paint."
glorification,exalted praise,+,"The film includes a glorification of the general.","She critiqued the glorification of youth.","The article is a glorification of small-town life."
glory,honor,+,"The team basked in the glory of the win.","She sought glory on the racing circuit.","Old soldiers spoke of past glory."
glum,quietly sad,−,"He looked glum after the loss.","She grew glum during the long trip.","The glum forecast dampened plans."
glut,oversupply,−,"There is a glut of new phones this year.","A glut of tomatoes lowered market prices.","The market saw a glut of empty offices."
goad,provoke,−,"He goaded his brother into a fight.","She goaded him with insults until he snapped.","Do not goad the tired dog with sticks."
good-natured,easygoing,+,"He is a good-natured coach with the kids.","Her good-natured jokes lift the office mood.","The dog is good-natured with strangers."
govern,rule,N,"Strict rules govern this game.","She governs her spending with a strict budget.","Kings once governed by divine right."
gradual,slow and steady,N,"There was a gradual improvement in her health.","The path has a gradual slope upward.","She made gradual progress on the novel."
grandiose,pompously huge,−,"He has grandiose plans that never happen.","The grandiose speech impressed no one.","Her grandiose ideas need trimming."
grandiosity,overblown grandness,−,"His grandiosity turned off investors.","She warned against grandiosity in the pitch.","The film's grandiosity feels dated now."
grandstand,seek attention,−,"He tends to grandstand during debates.","She refused to grandstand for votes.","Politicians often grandstand near cameras."
gratification,satisfaction,+,"He seeks instant gratification too often.","She felt gratification at her son's success.","Small wins give real gratification."
gratify,please,+,"Her praise gratified the young writer.","It gratifies me to see you do well.","The reply gratified his curiosity."
gratitude,thankfulness,+,"She expressed gratitude for the small gift.","His gratitude was deep and sincere.","A letter of gratitude touched her mother."
gratuitous,unwarranted,−,"The film has gratuitous violence.","He made a gratuitous jab at his rival.","She removed the gratuitous scenes from the draft."
greed,excessive desire,−,"Greed for money drove his choices.","Her greed for power ruined the deal.","The novel warns about the dangers of greed."
gregarious,sociable,+,"She is gregarious and knows everyone.","The gregarious host worked the room easily.","Gregarious kids often love team sports."
grievance,formal complaint,−,"He filed a grievance with the union.","Her grievance was handled quickly.","Old grievances still shape the debate."
grimy,dirty,−,"The workshop floor was grimy with oil.","His grimy hands smudged the paper.","She cleaned the grimy windows first."
grouchiness,irritability,−,"His grouchiness after work worries his family.","Lack of sleep causes her grouchiness.","She apologized for her grouchiness this morning."
