Word,Meaning,Sense,Sentence 1,Sentence 2,Sentence 3
quackery,fake medicine,−,"The clinic was accused of quackery.","She warned readers against online quackery.","Old-time quackery sold sugar as a cure."
qualitative,quality-based,N,"The study is qualitative, not statistical.","She made a qualitative judgment on the essay.","Qualitative research uses interviews and stories."
qualm,uneasy doubt,−,"He felt no qualm about firing the intern.","She had qualms about the risky deal.","No qualm slowed her decision."
quandary,dilemma,−,"He faced a quandary between two job offers.","She was in a quandary about the wedding date.","The team is in a quandary over the budget."
quantify,measure,N,"It is hard to quantify her impact on the team.","She quantified the losses in a chart.","Try to quantify the benefit before we vote."
quarantine,isolate,N,"They quarantined the sick birds.","She had to quarantine after her flight.","The infected file was quarantined by the system."
quash,crush completely,−,"The court quashed the earlier verdict.","She quashed the rumor with a public post.","Troops quashed the small uprising."
quell,suppress,−,"He quelled his fear before speaking.","Police quelled the protest by dawn.","Her calm words quelled the panic."
querulous,whiningly complaining,−,"His querulous tone annoyed the whole class.","She grew querulous after the delay.","The querulous customer wanted a refund."
query,question,N,"She sent a query to the help desk.","He raised a query about the invoice.","The database returned no results for her query."
quibble,petty objection,−,"Do not quibble over small details.","He quibbled about the price for an hour.","She quibbled with the waiter over the bill."
quickly,rapidly,N,"She replied quickly to the email.","He walked quickly to the office.","Please finish quickly; we are late."
quiescent,quietly at rest,N,"The volcano has been quiescent for years.","Her old ambitions stayed quiescent.","The quiescent market suddenly stirred."
quintessential,perfectly typical,+,"He is the quintessential jazz pianist.","She wore the quintessential summer dress.","The book is quintessential Hemingway."
quirky,offbeat,N,"He has a quirky sense of humor.","The cafe has a quirky decor.","Her quirky style attracts loyal fans."
quixotic,impractically idealistic,N,"His quixotic plan to end poverty won few backers.","She had a quixotic dream of a paperless office.","The quixotic quest ended in polite defeat."
quizzical,playfully puzzled,N,"He gave her a quizzical look.","She raised a quizzical eyebrow.","The quizzical child asked why for hours."
