Word,Meaning,Sense,Sentence 1,Sentence 2,Sentence 3
fabricate,make up,−,"He fabricated an excuse for missing work.","She fabricated the whole story to cover up.","Do not fabricate data in your research."
facet,aspect,N,"Every facet of the plan was reviewed.","She loves every facet of her new job.","The diamond has many bright facets."
facetious,joking,−,"His facetious remarks upset the grieving family.","She apologized for her facetious tone.","Do not be facetious during a serious talk."
facile,superficially easy,−,"He gave a facile answer to a tough question.","The solution is facile and misses the depth.","Do not accept facile explanations for it."
facilitate,make an action easier,+,"A quiet room facilitates study.","The tool facilitates team communication.","She facilitated the discussion smoothly."
facility,skilled ease,+,"She writes with great facility in three languages.","The gym has a fine facility for swimming.","His facility with numbers helped the team."
factious,causing disagreement,−,"Factious debates split the small party.","His factious speech divided the members.","Factious groups hurt any real reform."
factuality,fact-based nature,+,"The factuality of her report was checked twice.","She insists on factuality in journalism.","Factuality distinguishes news from opinion."
fairness,justice,+,"Fairness in hiring is a core value.","She questioned the fairness of the rule.","Kids often complain about fairness at games."
fake,counterfeit,−,"He was caught with fake IDs.","Her smile was fake and cold.","Do not sell fake goods to tourists."
fallacious,misleadingly false,−,"His argument is fallacious at its core.","She spotted the fallacious reasoning quickly.","Do not follow fallacious advice online."
fallacy,false belief,−,"It is a fallacy that quick wealth is easy.","She exposed the fallacy in his logic.","The article discusses common statistical fallacies."
fallibility,potential for error,N,"He acknowledged the fallibility of the system.","Human fallibility calls for backup plans.","She wrote about the fallibility of memory."
fallible,error-prone,N,"Even experts are fallible in judgment.","She admits she is human and fallible.","Memory is fallible over long periods."
fallow,uncultivated,N,"The field lay fallow for a season.","Her creative mind lay fallow for years.","Some ideas need a fallow phase to grow."
falsehood,lie,−,"He was caught in a bold falsehood.","She detected the falsehood in his story.","Do not spread a falsehood to friends."
falsity,untrue,−,"The falsity of the ad was proven in court.","She hated the falsity in his voice.","Journalists must guard against falsity."
falter,loose strength,−,"His voice faltered during the speech.","She never faltered under the pressure.","The economy faltered in the second half."
fanatical,excessively devoted,−,"He is fanatical about cleanliness.","Her fanatical fans wait outside her hotel.","Fanatical opinions can end a friendship."
fanciful,imaginatively unreal,N,"She had fanciful dreams of flying.","His fanciful theory intrigued the class.","The book is a fanciful tale of a magic city."
fantasy,imagination,N,"He lives in a fantasy world at times.","Winning the lottery is a common fantasy.","The film is a fantasy for young readers."
far-fetched,unlikely,−,"His story sounded far-fetched to us.","The excuse was far-fetched and weak.","Her plan is not as far-fetched as it seems."
far-reaching,extensive,+,"The reform has far-reaching effects.","The decision has far-reaching consequences.","Her ideas are subtle but far-reaching."
fascinate,captivate/attention,+,"Ancient history fascinates her.","The magician fascinated the young audience.","Space travel has always fascinated him."
fasten,attach firmly,N,"Please fasten your seat belt now.","She fastened the necklace at her neck.","He fastened the tent with strong ropes."
fastidious,fussily careful,N,"He is fastidious about his handwriting.","She is a fastidious editor who checks every comma.","The chef is fastidious about ingredients."
fathom,understand,N,"I cannot fathom his reasons for leaving.","She struggled to fathom the news.","No one could fathom the child's silence."
fathomless,unfathomably deep,N,"Her fathomless sorrow was hard to reach.","The lake is nearly fathomless in parts.","He looked into her fathomless eyes."
fatigue,tiredness,−,"Long hours cause fatigue quickly.","She hides her fatigue behind a smile.","The marathon left him in real fatigue."
fault,defect,−,"There is a small fault in the wiring.","She admitted it was her fault.","We must find the fault in the code."
faultlessness,perfection,+,"The faultlessness of the piano solo amazed all.","She strives for faultlessness in every dish.","His faultlessness on defense won the match."
favor,kindness,+,"Please do me a small favor today.","She won favor with her honest work.","The judge ruled in her favor."
favorable,positive,+,"They received favorable reviews from critics.","Conditions were favorable for the picnic.","The report is favorable overall."
fawn,flatter,−,"He fawns over the boss for a raise.","Do not fawn over strangers so easily.","She fawned on him until he agreed."
fawning,servile flattering,−,"His fawning manner embarrassed the guests.","Fawning journalists failed to press him.","She rejected the fawning compliment."
fearless,brave,+,"The fearless firefighter saved the family.","She is fearless when speaking truth to power.","Fearless drivers took the icy road."
feasibility,doability,+,"They studied the feasibility of the plan.","The feasibility of the design was proven.","We must assess feasibility before we start."
feasible,workable,+,"Is it feasible to finish the report by noon?","She proposed a feasible cost-saving plan.","The idea is bold but still feasible."
