Word,Meaning,Sense,Sentence 1,Sentence 2,Sentence 3
vacillate,waver,−,He vacillated between the two job offers.,She never vacillates once she decides.,The board vacillated on the reform for weeks.
vacuous,emptily mindless,−,His vacuous stare showed he was not listening.,The speech was vacuous and long.,Do not offer vacuous praise to students.
vague,unclear,−,He gave a vague answer to the reporter.,Her memory of the day is vague.,The rules are vague on this issue.
vainglorious,boastfully proud,−,His vainglorious speech bored the crowd.,The vainglorious general lost the campaign.,Her vainglorious memoir drew mocking reviews.
valediction,farewell address,N,He gave a moving valediction at graduation.,Her valediction thanked every teacher.,The captain's valediction touched the crew.
valedictory,farewell speech,N,She delivered the valedictory address at graduation.,His valedictory letter thanked his mentor.,The valedictory ceremony ended the term.
valid,well-grounded,+,His argument is valid and clear.,She raised a valid concern about the plan.,The ticket is valid for six months.
valor,brave courage,+,He was awarded a medal for valor.,She showed valor during the fire.,The valor of the small team saved the mission.
vanquish,decisively conquer,+,The team vanquished their old rival.,She vanquished her fear of flying.,He vanquished the reigning champion in three sets.
vapid,dull,−,The film has vapid dialogue.,She gave a vapid reply to the tough question.,Vapid gossip filled the office lounge.
variance,departure from norm,N,There is a small variance in the results.,She noted the variance from last quarter.,His actions were at variance with his words.
vary,change,N,Prices vary by season here.,She varies her workout each week.,The temperature varies through the day.
vehement,intensely forceful,−,He gave a vehement denial in court.,Her vehement protest silenced the room.,The vehement critic tore the film apart.
venal,bribable,−,The venal judge was finally exposed.,She refused to work in a venal system.,His venal motives ruined the deal.
vendor,seller,N,The vendor set up his stall at dawn.,She switched to a new vendor for lower prices.,Street vendors line the busy avenue.
venerable,respected old,+,The venerable professor still lectures.,They stayed at a venerable old inn.,The venerable tradition dates back centuries.
venerate,worship reverently,+,They venerate their ancestors each year.,She is venerated by her students.,Fans venerate the aging rock star.
vengeful,seeking revenge,−,He wrote a vengeful letter to his ex-boss.,She refused to become vengeful after the loss.,The vengeful villain plots a slow revenge.
venture,risky undertaking,N,She launched a new business venture.,He ventured into unfamiliar territory.,The venture required careful planning.
veracity,truthfulness,+,He doubted the veracity of the claim.,Her veracity impressed the panel.,Editors check the veracity of every fact.
verbose,too wordy,−,His verbose emails wear out the team.,She rewrote the verbose passage.,Do not be verbose in a cover letter.
