Word,Meaning,Sense,Sentence 1,Sentence 2,Sentence 3
jar,shock,−,The loud crash jarred her awake.,His rude remark jarred the polite dinner.,The bad news jarred the whole team.
jejune,dull,−,The film's plot was jejune and predictable.,His jejune remarks bored the audience.,She found the essay jejune and slight.
jeopardize,put at risk,−,He jeopardized his career with one bad post.,Do not jeopardize your health for a job.,The leak jeopardized the whole deal.
jeopardy,danger,−,The verdict put his freedom in jeopardy.,Her savings were in jeopardy after the fraud.,The species is in jeopardy of extinction.
jeremiad,long complaint,−,His jeremiad about modern schooling ran on for pages.,She read the columnist's weekly jeremiad.,The letter was a jeremiad against noisy neighbors.
jettison,discard,N,They jettisoned old files to save space.,She jettisoned the plan when funds ran out.,The crew jettisoned cargo to lighten the ship.
jockey,maneuver for advantage,N,Drivers jockey for position at the start.,She jockeyed for the corner office.,Aides jockey to sit next to the boss.
jocund,cheerfully merry,+,The jocund host welcomed each guest warmly.,She was in a jocund mood on her birthday.,His jocund laugh filled the room.
jovial,jolly,+,He is a jovial uncle at family parties.,She gave a jovial wave from across the street.,The jovial crowd sang all evening.
joy,happiness,+,Her face lit up with joy at the news.,She finds joy in small daily things.,The reunion brought tears of joy.
jubilant,joyfully triumphant,+,The team was jubilant after the win.,She sent a jubilant text to her family.,Jubilant fans filled the streets.
judgement,legal ruling,N,The court delivered its judgement at noon.,She used good judgement in the crisis.,His judgement is trusted across the office.
judicious,wise,+,She made a judicious choice about her career.,His judicious use of funds saved the firm.,A judicious teacher earns real respect.
juvenile,youthful,N,His juvenile jokes did not fit the meeting.,The court handles juvenile cases separately.,She writes juvenile fiction for teens.
