Word,Meaning,Sense,Sentence 1,Sentence 2,Sentence 3
iconoclast,tradition-breaker,N,She is an iconoclast in the fashion world.,The iconoclast rewrote the rules of physics.,He is admired as a design iconoclast.
ideologue,stubborn,−,He is an ideologue who refuses compromise.,Voters grew tired of the ideologue's speeches.,The party is led by an inflexible ideologue.
idiosyncrasy,unique habit,N,His idiosyncrasy of pacing helps him think.,She has an idiosyncrasy about odd numbers.,Every writer has a defining idiosyncrasy.
ignoble,dishonorable,−,He was accused of ignoble motives.,She refused to stoop to ignoble tactics.,History records the ignoble surrender.
illuminate,light up,+,Candles illuminate the small chapel.,Her example illuminates the whole point.,The teacher illuminated the difficult concept.
illusory,deceptively unreal,−,His hopes turned out to be illusory.,The safety was illusory once the storm hit.,Wealth in a dream is purely illusory.
illustrious,widely famous,+,He had an illustrious career in surgery.,She comes from an illustrious family.,Her illustrious past impressed the panel.
imago,idealized image,N,He carries an imago of his father.,The child's imago of the hero shaped her career.,Freud wrote about the parental imago.
imbroglio,confusing/complicated situation,−,He was caught in a legal imbroglio.,The political imbroglio lasted for months.,She wants to avoid any imbroglio at work.
immaculate,spotless,+,The kitchen was immaculate after cleaning.,She wore an immaculate white suit.,His record at work is immaculate.
immaterial,irrelevant,N,Whether he agrees is immaterial to the outcome.,The judge ruled the letter immaterial.,The small delay is immaterial to the project.
immerse,plunge/to dive,N,She loves to immerse herself in a good book.,Do not immerse the phone in water.,The class was immersed in the experiment.
immolate,sacrifice,−,Protesters threatened to immolate themselves.,He would not immolate his career for a cause.,Ancient rites once immolated animals for gods.
immortality,everlasting life,+,He wrote seeking a kind of immortality.,She spoke of the immortality of great art.,Fame is not the same as immortality.
immure,imprision,−,The old rule immured women in the home.,He felt immured by daily routines.,The saint was immured in a small cell.
immutable,unchanging,N,She views her values as immutable.,The immutable rules apply to every player.,Time seems immutable when you are waiting.
impair,weaken,−,Drinking can impair your judgment.,Loud noise impairs his hearing.,Bad habits impair long-term performance.
impalpable,intangible/cannot be seen,N,Her fear was real but impalpable.,There is an impalpable tension in the room.,The atmosphere had an impalpable sadness.
impartiality,fairness,+,His impartiality earned respect from all sides.,She values impartiality above popularity.,The report's impartiality was praised.
impassioned,intensely emotional/intense feeing,+,She gave an impassioned speech about justice.,His impassioned letter moved the reader.,The impassioned crowd sang loudly.
impassive,emotionless,N,His face remained impassive during the trial.,She gave an impassive nod at the news.,The impassive guard did not react.
impeccable,flawless,+,Her manners are impeccable at every event.,He has an impeccable record in law.,The suit's tailoring is impeccable.
impede,hinder,−,Snow can impede our travel.,Do not impede the flow of work.,Bureaucracy impedes small business growth.
impediment,obstacle,−,His speech impediment does not stop him.,Cost is a real impediment for many families.,There is no impediment to the plan now.
imperative,important,N,It is imperative that we start now.,She gave the meeting a clear imperative.,Safety is our first imperative here.
imperceptible,undetectable/to small,N,There was an imperceptible change in her tone.,The shift in light was imperceptible.,Movement was imperceptible in the still water.
imperil,endanger,−,Reckless driving imperils other lives.,The scandal imperiled the whole firm.,Do not imperil the deal with a rash email.
imperious,bossy,−,His imperious manner drove staff away.,She gave an imperious wave for silence.,The imperious tone offended his colleagues.
impertinent,disrespectful,−,His impertinent question angered the panel.,She gave an impertinent smirk at the boss.,Impertinent remarks have no place at work.
imperturbable,unshakably calm,+,Her imperturbable calm helped in the crisis.,The imperturbable pilot landed safely.,He is imperturbable even under fire.
impervious,unaffected,N,The roof is impervious to rain.,She is impervious to online criticism.,The material is impervious to heat.
impetuous,impulsive,−,He made an impetuous jump into the lake.,Her impetuous decision was risky.,The impetuous boy interrupted the class.
implacable,unable to calm,−,She faces an implacable rival in court.,His hatred was implacable and old.,Nature can be an implacable enemy.
implausible,unbelievable,−,His story sounds implausible to me.,The excuse was implausible from the start.,The film's ending felt implausible.
implicate,involved in crime,−,The evidence implicated him in the theft.,Her emails implicated the whole board.,Do not let one member implicate the group.
implicit,implied,N,There is implicit trust in the letter.,The rules include implicit expectations.,Her nod was implicit approval.
impolitic,tactless,−,His impolitic remark cost him the election.,It was impolitic to argue with the client.,She apologized for her impolitic tone.
importunate,persistently demanding,−,Importunate salesmen kept ringing her phone.,She grew tired of the importunate requests.,The importunate child would not stop asking.
impotence,powerlessness,−,His impotence in the crisis frustrated him.,She felt the impotence of protest against the machine.,The reform showed the impotence of the old law.
impracticable,impossible to practice,−,The plan is impracticable given the budget.,His idea is bold but impracticable.,This route is impracticable in winter.
imprecise,inexact,−,His imprecise measurements caused the error.,She rewrote the imprecise sentence.,Imprecise language leads to confusion.
impregnable,unable to capture,+,The old fort was thought impregnable.,Her defense of the theory is impregnable.,Their lead in the game seemed impregnable.
impropriety,improper behavior,−,He was fired for financial impropriety.,She was accused of a minor impropriety.,The judge saw no impropriety in the meeting.
imprudent,unwise,−,It was imprudent to invest all his money.,She made an imprudent choice at the meeting.,Imprudent driving caused the accident.
impudent,cheeky,−,His impudent reply annoyed the judge.,She gave an impudent grin to the boss.,The impudent child kept interrupting.
impugn,challenge,−,He impugned her honesty during the debate.,Do not impugn my motives without proof.,The lawyer impugned the witness's memory.
impute,attribute,N,Do not impute bad motives to your rivals.,She imputed his silence to shyness.,The essay imputes the trend to social media.
inattention,not paying attention,−,His inattention in class hurt his grades.,She missed the turn from simple inattention.,Inattention to detail spoiled the report.
inauspicious,unfavorable,−,The trip had an inauspicious start with rain.,It was an inauspicious day for a launch.,She noted the inauspicious signs early.
incendiary,inflammatory,−,His incendiary speech drew angry crowds.,The article's incendiary tone worried editors.,She avoided incendiary language in her post.
inception,beginning,N,He has led the firm since its inception.,The plan was flawed from its inception.,"Since its inception, the club has grown fast."
