Word,Meaning,Sense,Sentence 1,Sentence 2,Sentence 3
ubiquitous,found everywhere,N,Cell phones are ubiquitous in modern life.,The brand is ubiquitous in every mall.,Ads for the show became ubiquitous.
ulterior,hidden motive,−,She suspected he had an ulterior motive.,His ulterior goal was to get promoted.,Do not trust an ulterior offer of help.
umbrage,taken offense,−,He took umbrage at her sharp reply.,She refused to take umbrage at the joke.,Do not take umbrage at honest feedback.
unadorned,undecorated,N,She wore an unadorned black dress.,The unadorned room felt clean and calm.,His unadorned prose gets to the point.
unalloyed,pure and complete,+,She felt unalloyed joy at the news.,The trip was an unalloyed success.,His unalloyed devotion touched her heart.
unambiguous,clearly single-meaning,+,The rules are unambiguous about lateness.,She gave an unambiguous answer.,The evidence is unambiguous.
unassailable,impossible to attack,+,Her argument is unassailable.,The team's lead became unassailable.,His reputation is nearly unassailable.
unassuming,modest,+,He is unassuming despite his wealth.,Her unassuming manner won people over.,The unassuming cafe served the best coffee.
unblemished,without flaw,+,She has an unblemished record.,The car is in unblemished condition.,His name is unblemished in the community.
uncanny,eerily strange,N,She has an uncanny ability to guess ages.,There is an uncanny silence in the woods.,The uncanny resemblance startled us.
uncharacteristic,not typical,N,His outburst was uncharacteristic of him.,She showed uncharacteristic patience today.,The uncharacteristic loss shocked fans.
uncompromising,making no concessions,N,She is uncompromising on quality.,His uncompromising honesty cost him friends.,The uncompromising judge stuck to the rules.
unctuous,greasily insincere,−,His unctuous compliments felt fake.,The unctuous salesman drove me away.,She hated the unctuous tone of the ad.
undermine,sabotage from below,−,His constant doubts undermine the team.,Do not undermine the manager's authority.,Poor sleep undermines your immune system.
underscore,emphasize,+,The report underscores the need for reform.,Her success underscores the value of practice.,Please underscore the key point in your slide.
understate,downplay,N,He tends to understate his own role.,She understated the risks in the pitch.,The report understated the actual cost.
understated,tastefully subtle,+,She wore understated jewelry to the gala.,His understated humor won the room.,The room has an understated elegance.
understood,comprehended,+,His point is now clearly understood.,It is understood that meetings start at nine.,The rules are understood by all staff.
undiminished,not lessened,+,Her enthusiasm remains undiminished.,His talent is undiminished after years abroad.,The demand for tickets is undiminished.
undisclosed,not revealed,N,He sold the house for an undisclosed sum.,She has undisclosed sources for her article.,The deal has undisclosed terms.
unease,mild anxiety,−,There was a growing unease in the room.,She felt unease about the new manager.,Public unease about prices is rising.
unencumbered,free of burden,+,She travels unencumbered by heavy luggage.,He is unencumbered by debt.,An unencumbered mind thinks more clearly.
unequivocal,leaving no doubt,+,She gave an unequivocal yes to the offer.,The results are unequivocal.,His support is unequivocal and public.
unerring,without error,+,She has unerring instinct for a good story.,His unerring aim won the archery contest.,The unerring judge chose the best essay.
unexceptional,not special,N,The food was unexceptional but filling.,She gave an unexceptional performance.,His unexceptional grades hid his real talent.
unfashionable,out of style,−,His unfashionable suit drew polite smiles.,The unfashionable views cost her the election.,Wide ties became unfashionable in the 90s.
unfathomable,unmeasurably deep,N,Her sorrow felt unfathomable.,The universe is unfathomable in scale.,His silence was unfathomable to us.
unfeasible,not workable,−,The plan is unfeasible on this budget.,The route is unfeasible in winter.,Her wish list is unfeasible in a week.
unfeeling,without empathy,−,His unfeeling reply hurt the family.,She refused to be unfeeling toward the loss.,An unfeeling boss loses good staff.
unflagging,never-tiring,+,Her unflagging energy inspired the team.,His unflagging support helped her win.,The unflagging crew worked through the night.
unflinching,not shrinking,+,She gave an unflinching account of the war.,His unflinching honesty impressed the panel.,The unflinching gaze unsettled him.
ungainly,awkwardly clumsy,−,He is ungainly on the dance floor.,The ungainly baby giraffe stumbled around.,Her ungainly walk gave her away.
ungracious,lacking charm,−,His ungracious refusal upset the host.,She apologized for her ungracious tone.,The ungracious reply ended the friendship.
unidimensional,one-sided,−,The character is unidimensional and flat.,She rejected the unidimensional theory.,His unidimensional view missed many angles.
