Word,Meaning,Sense,Sentence 1,Sentence 2,Sentence 3
laboratory,research workplace,N,"She works in a chemistry laboratory.","The laboratory tests take three days.","The old laboratory smelled of alcohol."
laconic,impressively brief,+,"He gave a laconic reply to the reporter.","Her laconic style is famous among readers.","The laconic old cowboy said little."
lambast,harshly attack,−,"He lambasted his rival for the lie.","She was lambasted for the sloppy report.","The paper lambasted the mayor's plan."
lambaste,harshly criticize,−,"Critics lambasted the film for its ending.","She was lambasted by the reviewer.","He lambasted the poor customer service."
lament,mourn,−,"She lamented the loss of her old friend.","He lamented the closure of the small shop.","His novel is a lament for a lost era."
lamentation,cry of grief,−,"Her lamentation echoed through the empty house.","Public lamentation followed the sudden death.","The song is a quiet lamentation."
lampoon,mock publicly,N,"The cartoon lampooned the senator's speech.","She wrote a lampoon of office culture.","The show lampoons every political party."
languid,dreamily slow,N,"She gave a languid wave from the porch.","The languid summer afternoon stretched on.","His languid manner suited the beach."
languish,weaken from neglect,−,"He languished in prison for years.","Her career languished after the scandal.","The bill languished in committee."
lapse,slip,−,"There was a lapse in her attention.","His memory lapse embarrassed him.","The insurance lapsed last month."
largesse,generous giving,+,"The town benefited from her largesse.","The foundation's largesse funds the school.","He wrote about royal largesse to the poor."
lassitude,weary drained,−,"Summer lassitude slowed her studies.","The illness left him in real lassitude.","A wave of lassitude hit him after lunch."
latitude,freedom to act,+,"Managers have latitude in setting hours.","She gave her team wide latitude on the project.","Judges have latitude in sentencing."
laud,praise highly,+,"Critics lauded her new novel.","He lauded the team's honest effort.","She was lauded for her volunteer work."
laudable,praiseworthy,+,"Her efforts to help are laudable.","He made a laudable attempt to fix the leak.","The plan has laudable goals."
launch,start,+,"They launched a new product last week.","She launched her career with one hit song.","The rocket launched at dawn."
lavish,extravagantly generous,N,"They threw a lavish wedding party.","She lavished praise on the young artist.","The film had lavish costumes."
lavishly,extravagantly,N,"He spent lavishly on the vacation.","She lavishly decorated the ballroom.","They lavishly praised the young musician."
lax,slack,−,"Security at the gate has been lax.","He is lax about deadlines.","Lax rules led to the safety issue."
legacy,inheritance,N,"Her father left a small legacy.","His work leaves a lasting legacy in music.","The teacher's legacy is her many students."
legend,famous story,N,"She became a legend in local politics.","The legend of the lake has old roots.","He is a legend in the racing world."
legislation,law making,N,"New legislation protects tenants.","She works on climate legislation.","The legislation passed both houses easily."
legitimate,legal,+,"She has a legitimate claim to the land.","His questions were legitimate and fair.","The legitimate business is not linked to fraud."
legitimize,make legal,+,"The court legitimized the new policy.","She sought to legitimize the small firm.","The vote will legitimize the reform."
leniency,mildness,+,"The judge showed leniency to the young offender.","She asked for leniency at sentencing.","Leniency in one case does not set a rule."
lethargic,energy-drained,−,"He felt lethargic after the long flight.","The lethargic team barely moved.","Hot weather makes her lethargic."
lethargy,tiredness,−,"Winter lethargy hit the whole office.","Her lethargy worried her doctor.","He fought off morning lethargy with coffee."
levity,light humor,N,"He added some levity to the tense meeting.","Her levity felt wrong at the funeral.","A touch of levity helps a long lecture."
liability,drawback,−,"His temper is a liability at work.","The old car is a liability in winter.","She had to accept liability for the mistake."
liberalization,easing of rules,+,"The reform brought trade liberalization.","She wrote about media liberalization.","Liberalization opened many new markets."
liberation,freeing,+,"She spoke of the liberation of the town.","Financial liberation was her main goal.","The liberation of prisoners took hours."
liberator,freer,+,"He was hailed as a liberator by the villagers.","She saw her teacher as a liberator of ideas.","The liberator rode into the city at dusk."
libertine,pleasure-seeker,−,"He was known as a libertine in his youth.","The libertine ignored every social rule.","She refused to marry the notorious libertine."
