Word,Meaning,Sense,Sentence 1,Sentence 2,Sentence 3
wan,pale weak,−,"He gave a wan smile at the joke.","Her wan face worried her mother.","The wan light of dawn crept in slowly."
wane,gradually decline,−,"Her interest in the project began to wane.","The moon will wane over the next week.","His fame waned after the scandal."
wanting,lacking,−,"His plan is wanting in detail.","She was found wanting by the panel.","The report was wanting in evidence."
warmhearted,kind,+,"She is warmhearted and quick to help.","The warmhearted neighbor watched the children.","His warmhearted letter cheered her up."
warp,distort,−,"Heat can warp the wooden floor.","Bias warps a lot of research.","Her sense of time warped after the flight."
warrant,justify,N,"The evidence does not warrant an arrest.","She warranted his trust with hard work.","The store issued a warrant for the missing item."
warranted,justified,+,"The strict rule is warranted by past accidents.","Her caution was warranted given the risks.","His anger was not warranted by the small mistake."
wary,cautiously watchful,+,"She is wary of online sellers.","He gave her a wary look at the door.","Investors grew wary after the news."
waver,hesitate,−,"He wavered before signing the contract.","She did not waver in her decision.","His voice wavered during the tough question."
wayward,disobediently straying,−,"Their wayward son missed curfew again.","She corrected the wayward student gently.","A wayward gust of wind broke the umbrella."
weak,lacking strength,−,"He felt weak after the long illness.","The argument was too weak to convince the panel.","She has a weak grip after the surgery."
wearisome,tiresomely boring,−,"The wearisome journey took all day.","She dropped the wearisome routine chores.","His wearisome complaints wore out his friends."
weary,tired,−,"She grew weary of the long debate.","He was weary after the double shift.","The weary traveler collapsed on the bed."
wheedle,coax sweetly,−,"He wheedled a raise out of the boss.","She wheedled the child into eating vegetables.","The salesman wheedled her into buying more."
wherewithal,needed means,+,"He lacked the wherewithal to start a business.","She has the wherewithal to help the family.","Do you have the wherewithal to travel abroad?"
whim,sudden desire,N,"She bought the dress on a whim.","He changes plans at every whim.","On a whim, they drove to the coast."
whimsical,playfully fanciful,N,"She has a whimsical style of writing.","His whimsical drawings delighted the kids.","The cafe has a whimsical interior."
wide-ranging,covering much,+,"They had a wide-ranging discussion about ethics.","She has wide-ranging interests in the arts.","The report is wide-ranging and detailed."
willful,defiantly stubborn,−,"Her willful child ignored every rule.","He made a willful choice to disobey.","The willful driver ignored the warning."
wily,tricky,−,"The wily fox stole the food.","She is a wily negotiator, so beware.","His wily plan fooled every rival."
winnow,sift out,N,"The panel winnowed the applicants down to five.","She winnowed her closet to a few staples.","Judges winnow the entries by the second round."
wisdom,accumulated insight,+,"Her wisdom guided the young team.","Age brought him wisdom about people.","The book collects folk wisdom from many cultures."
wistful,yearningly melancholy,N,"She had a wistful smile as she left.","His wistful tone spoke of missed chances.","Wistful eyes followed the departing train."
withstand,endure,+,"The bridge can withstand strong winds.","She withstood the criticism with grace.","The old chair has withstood decades of use."
woe,misery,−,"He shared his woes with a kind friend.","Her woe was clear in her tired eyes.","The village faced a season of woe."
woeful,wretchedly gloomy,−,"He gave a woeful account of the loss.","Her woeful expression touched every guest.","The team's woeful season ended early."
wondrous,extraordinary,+,"The garden is wondrous in the spring.","She had a wondrous view from her window.","The children heard a wondrous fairy tale."
worrisome,causing anxiety,−,"The rise in cases is worrisome.","She noted a worrisome pattern in the data.","His worrisome cough sent him to the doctor."
worry,anxiety,−,"His late arrival caused real worry.","She tries not to worry about small things.","Money worries kept him up at night."
worsen,grow worse,−,"His cough began to worsen at night.","Rain will worsen the road conditions.","Do not worsen the tension with a rude reply."
