Word,Meaning,Sense,Sentence 1,Sentence 2,Sentence 3
tacit,silently understood,N,There was a tacit agreement between them.,Her silence was tacit approval of the plan.,Tacit rules govern polite conversation.
taciturn,habitually silent,N,The taciturn old farmer rarely spoke.,She is taciturn in large meetings.,His taciturn manner hid a sharp mind.
tact,diplomatic sensitivity,+,She handled the news with great tact.,His tact saved the tense negotiation.,Tact is required when giving hard feedback.
tactful,considerate in speech,+,He gave a tactful reply to the rude question.,She is tactful when praising others.,A tactful nurse eases every patient's fears.
tactless,socially clumsy,−,His tactless joke embarrassed the family.,She apologized for her tactless remark.,Tactless comments hurt more than they help.
taint,contaminate,−,The scandal tainted his reputation.,Do not taint the batch with unclean tools.,Old bias taints many hiring decisions.
tangent,off topic,N,He went off on a tangent about his cat.,Please stay on point and skip the tangent.,Her tangent about travel amused the class.
tangible,concretely real,+,There is tangible progress on the plan.,Her rewards were finally tangible.,The company shows tangible growth this year.
tantalize,tempt teasingly,N,The smell of bread tantalized the hungry kids.,She tantalized us with hints about the surprise.,Fresh berries tantalized the shoppers.
tantamount,effectively equivalent,N,His silence was tantamount to consent.,Skipping this step is tantamount to failure.,Her offer was tantamount to a raise.
tarnish,stain reputation,−,The scandal tarnished the family name.,Time and neglect tarnished the silver bowl.,Do not tarnish her memory with rumors.
technological,tech-based,N,Technological progress transformed the industry.,She teaches technological skills to teens.,The technological gap between them is wide.
tedious,tiresomely boring,−,The meeting was long and tedious.,She dislikes tedious paperwork.,His tedious lecture put students to sleep.
teem,swarm abundantly,+,The lake teems with fish.,The market teems with vendors on Sundays.,The garden teems with butterflies in June.
temerity,reckless nerve,−,He had the temerity to ask for more.,She spoke with temerity to the senior manager.,His temerity surprised the polite room.
temper,soften with restraint,N,Time can temper strong emotions.,She tempered her criticism with kind words.,He struggled to temper his temper.
temperate,mild,+,The temperate climate suits gardening.,He spoke in temperate tones.,She lives a temperate life without excess.
tempestuous,stormily emotional,−,Their tempestuous romance made headlines.,She endured a tempestuous meeting.,The tempestuous weather delayed the trip.
temporal,worldly,N,The book discusses temporal versus spiritual goals.,"She focused on temporal, not eternal matters.",Temporal changes shaped his outlook.
tempt,entice,N,The dessert tempted her off her diet.,Do not tempt fate with a rash bet.,The low prices tempted many shoppers.
temptation,alluring pull,−,The temptation to quit was strong.,She resisted the temptation of a second slice.,Temptation is easier to avoid than resist.
tenable,defensible,+,His position is no longer tenable.,She made a tenable argument for the reform.,The tenable strategy convinced the board.
tenacious,persistently gripping,+,She is tenacious in her pursuit of the truth.,The tenacious reporter uncovered the fraud.,A tenacious grip held the climber safe.
tendency,inclination,N,He has a tendency to arrive late.,She has a tendency toward optimism.,The market shows a tendency to slow.
tendentious,agenda-pushing,−,The article was tendentious and biased.,She rejected the tendentious framing.,His tendentious speech ignored other views.
tentative,provisionally cautious,N,She gave a tentative smile at the news.,We reached a tentative agreement.,His tentative plans were still forming.
tenuous,flimsily thin,−,His grasp on the topic is tenuous.,The connection between the events is tenuous.,She hangs on to power by a tenuous thread.
tepid,lukewarm,−,The audience gave a tepid response.,She served tepid tea to the guests.,His tepid support did not help the plan.
terse,curtly brief,N,His terse reply ended the conversation.,She sent a terse text about the delay.,The report was terse but complete.
thorough,completely detailed,+,She gave a thorough review of the plan.,His thorough notes helped the team.,A thorough cleaning took the whole weekend.
threaten,menace,−,Storm clouds threaten our picnic.,He threatened to sue over the article.,The strike threatens to shut the plant.
thrift,frugality,+,Her thrift built the family's savings.,He learned thrift from his grandmother.,Old-school thrift helped him retire early.
thwart,frustrate,−,Rain thwarted our travel plans.,She thwarted his attempt to interrupt.,Security thwarted the break-in attempt.
timorous,fearfully timid,−,She gave a timorous knock at the door.,The timorous child hid behind her mother.,A timorous voice asked the tough question.
tirade,angry rant,−,His tirade about traffic lasted twenty minutes.,She endured the boss's long tirade.,The letter was a bitter tirade.
tiresome,boring,−,Her tiresome complaints wore out her friends.,The tiresome journey took all night.,His tiresome jokes fell flat.
token,merely nominal,N,He made a token gesture of apology.,The fine is only a token amount.,The subway used old paper tokens.
tonic,invigorating drink,+,The mountain air was a tonic for her.,A short walk is a tonic for the mind.,She served a lemon tonic at brunch.
topple,fall over,−,The wind toppled the old tree.,Protests threatened to topple the government.,The stack of books toppled to the floor.
torpor,dormant sluggishness,−,He fell into a torpor after the heavy meal.,Winter torpor slowed the whole town.,She fought the torpor of a boring lecture.
tortuous,windingly complex,−,The tortuous mountain road took hours.,His tortuous logic confused the class.,The tortuous legal case dragged on for years.
totemic,symbolic of a group,N,The eagle is a totemic figure in the tribe.,The old song has a totemic role in the family.,The mascot became totemic for the school.
touchstone,standard for comparison,+,Her honesty is the touchstone of her leadership.,Real experience is the touchstone of skill.,Old classics are a touchstone for new writers.
tout,promote loudly,N,He touts himself as an expert.,The ad touts the phone's new camera.,She refused to tout her role in the win.
toxic,poisonous,−,The old paint contained toxic lead.,Her toxic remarks poisoned the office.,The toxic waste site was fenced off.
tractable,easily managed,+,The problem is tractable with the right tools.,The tractable child listened to every rule.,New rules made the process more tractable.
traditional,following tradition,N,She wore traditional dress at the wedding.,The bakery makes traditional bread.,His traditional views resist modern trends.
tragic,deeply sad,−,His death was a tragic loss to the community.,The tragic film left the audience in tears.,A tragic accident changed the family forever.
tranquil,peacefully calm,+,The garden was tranquil in the morning.,She has a tranquil temperament.,Tranquil music helped him focus.
transcend,rise above,+,Great art transcends language.,She transcended her humble start.,Their friendship transcends distance.
transformation,thorough change,+,The house underwent a full transformation.,Her transformation into a leader was slow.,The city's transformation impressed visitors.
transgress,violate a rule,−,Do not transgress the safety limits.,He transgressed the code of ethics.,She transgressed the unspoken rules.
transient,passing through,N,The pain was transient and mild.,Transient workers filled the summer shifts.,Her joy was transient but real.
transitory,temporary,N,His fame was transitory and slight.,She sees anger as a transitory feeling.,Transitory beauty makes flowers precious.
transparent,easy to see through,+,The rules should be transparent to all.,She wore a transparent shawl over the dress.,His transparent lie fooled no one.
treatise,scholarly work,N,He wrote a treatise on medieval law.,Her treatise on ethics is widely cited.,The treatise runs to five volumes.
trenchant,incisively sharp,+,She gave a trenchant analysis of the vote.,His trenchant essay hit every point.,The critic wrote a trenchant review.
trendy,fashionable,N,The cafe has a trendy vibe.,Her trendy sneakers turned heads.,Trendy diets often lack lasting benefits.
