Word,Meaning,Sense,Sentence 1,Sentence 2,Sentence 3
pacify,bring peace,+,"She pacified the crying baby with a song.","He tried to pacify the angry customer.","Talks were held to pacify the region."
painful,hurting,−,"Her ankle is painful after the fall.","The truth was painful to hear.","A painful silence filled the room."
painstaking,carefully thorough,+,"She did painstaking research for the book.","His painstaking edits improved the draft.","The restoration was painstaking work."
palliate,ease suffering,+,"Doctors palliate what they cannot cure.","She palliated the family's grief with words.","The medicine palliated the worst pain."
palliative,pain-easing,+,"The clinic offers palliative care.","Palliative measures gave him comfort.","She wrote a palliative note to the family."
palpable,almost touchable,N,"There was a palpable tension in the room.","Her joy was palpable at the news.","The fear in his voice was palpable."
paltry,pitifully small,−,"He earned a paltry sum for hard labor.","She left the job over a paltry raise.","The reward is paltry given the effort."
panacea,cure-all,N,"There is no panacea for social problems.","Do not treat exercise as a panacea.","She sold it as a panacea for weight loss."
panache,flair,+,"She entered the room with panache.","He tells stories with real panache.","The dancer performed with panache."
panegyric,formal praise,+,"He gave a panegyric at the retirement dinner.","She wrote a panegyric for the founder.","The article reads like a panegyric."
panoply,impressive array,+,"A panoply of stars attended the gala.","The book covers a panoply of topics.","She wore a panoply of medals."
paradigm,model,N,"The theory offers a new paradigm.","She works within an old paradigm.","This case is the paradigm for the field."
paradoxical,self-contradictory,N,"His view is paradoxical yet convincing.","She gave a paradoxical answer to the puzzle.","The rule has a paradoxical effect."
paragon,perfect model,+,"She is the paragon of honesty.","He is a paragon of good taste.","The knight became a paragon of virtue."
paralyze,make helpless,−,"Fear paralyzed him at the interview.","The strike paralyzed the whole port.","Doubt can paralyze even a strong plan."
parity,equality,N,"The teams played to parity in points.","She fights for wage parity in the firm.","There is no parity between the two roles."
parley,negotiation,N,"The two sides met for a parley.","A quick parley ended the standoff.","She requested a parley with the mayor."
parochial,narrow-minded,−,"His parochial views blocked new ideas.","The town has a parochial press.","Do not be parochial about tech trends."
parody,mocking imitation,N,"The show is a parody of morning news.","He wrote a parody of the senator's speech.","The film is a parody of spy thrillers."
parse,analyze carefully,N,"She parsed his email for hidden meaning.","Analysts parse every word of the speech.","Parse the sentence to find the subject."
parsimonious,cheap,−,"He is parsimonious with tips.","Her parsimonious budget angered the team.","The parsimonious boss cut every extra."
partial,incomplete,−,"He gave only a partial answer.","The report is partial to one side.","She has a partial view from her window."
particularize,specify,N,"Please particularize your objections.","She particularized each cost in the plan.","The judge asked him to particularize the claim."
partisan,fiercely one-sided,−,"The news has become fiercely partisan.","She refuses to be a partisan cheerleader.","Partisan attacks weakened the bill."
passable,barely adequate,N,"His French is passable, not fluent.","The road is passable in dry weather.","She gave a passable but dull speech."
passive,inactive,−,"He is passive during conflict.","She refuses to be passive at meetings.","The passive investor took few risks."
pastiche,copied work,N,"The film is a pastiche of old thrillers.","Her painting is a pastiche of Impressionists.","The essay is a pastiche of clichés."
patchwork,mixed assembly,N,"The bill is a patchwork of ideas.","Her career is a patchwork of odd jobs.","The quilt is a patchwork of family fabrics."
patent,plainly evident,N,"His anger was patent to everyone.","She patented her new device.","The patent office issued the ruling."
patience,calm endurance,+,"She showed patience with the beginner.","Patience is a virtue in teaching.","His patience ran out during the delay."
patriotism,love of country,+,"His patriotism led him to serve.","She wrote about quiet patriotism.","The song stirred deep patriotism."
patronize,talk down to,−,"Do not patronize me during the meeting.","She hates it when clients patronize her.","He patronized the shop for years."
paucity,scarcity,−,"There is a paucity of trained nurses.","The paucity of data slowed the study.","A paucity of rain hurt the crops."
peccadillo,minor offense,−,"His only peccadillo was a taste for gossip.","She forgave the small peccadillo.","Youthful peccadilloes should not define him."
peculiar,strange,N,"He has a peculiar way of laughing.","Her peculiar taste in music surprised us.","The peculiar smell filled the shed."
pecuniary,money-related,N,"He faces pecuniary trouble at the firm.","The suit sought pecuniary damages.","His pecuniary interest in the deal was clear."
pedant,rule-obsessed nitpicker,−,"The pedant corrected every grammar error.","Do not be a pedant about spelling in texts.","She avoided the pedant at the seminar."
pedestrian,unimaginatively dull,−,"His writing is pedestrian and flat.","She gave a pedestrian answer to a hard question.","The film's plot is pedestrian at best."
pedigree,ancestry,N,"The dog has a pedigree from champions.","She has a strong academic pedigree.","His pedigree impressed the interviewers."
pejorative,disparaging,−,"His use of the term was pejorative.","Avoid pejorative language in reviews.","The word carries pejorative meaning."
pellucid,crystal clear,+,"The lake was pellucid in the sun.","She writes with pellucid prose.","His pellucid argument won the debate."
penalty,punishment,−,"He paid a penalty for the late fee.","The penalty for cheating is expulsion.","Her team gave up a penalty in the final minute."
penance,atonement,N,"He did penance for his mistakes.","She wrote the letter as a form of penance.","The old ritual involves quiet penance."
